what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321982276118
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321982328659
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321982328737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321982336162
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321982336334
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321982427329
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321982456282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321982456392
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321982513503
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321982514533
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321982515672
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321982530507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321982541615
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321982563735
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321982571801
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1321982606947
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321982616089
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1321982623624
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321982624997
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321982633935
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321982634060
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321982656072
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321982669332
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321983380079
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321983382294
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321983383604
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321983384774
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321983429468
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321983486245
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321983492755
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321983493316
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321983495843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1321983496638
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321983498713
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321983501303
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321983503877
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321983550485
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321983567006
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321983568472
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321983572987
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321983573002
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321983578665
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321983587685
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1321983594088
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321983595947
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321983598474
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1321983600830
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321983602429
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321983604570
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321983606317
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321983607411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321983609384
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321983624578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1321983632477
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321983644536
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321983672499
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321983675369
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321983682030
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321983682810
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321983784804
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321983786379
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321983789827
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321983789858
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321983792962
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321983794184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321983800591
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321983802090
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321983806302
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1321983824060
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321983830721
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321983835578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321983845140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321983848416
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321983850912
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321983852722
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321983873267
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321983876253
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321983895635
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321984006081
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321984007110
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.print",1321984007126
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321984008296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321984046755
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321984048408
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321984097090
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321984098749
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321984105987
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321984111455
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321984113701
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321984117623
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321984119932
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321984132888
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321984134745
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321984171410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321984176169
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321984188032
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321984241005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321985234917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321986135270
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321986634234
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321986635423
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321987403282
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321987404877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321987405769
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321987407030
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321987437944
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321987482279
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321987484633
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321987504453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1321987519945
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321987520973
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321987530822
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321987590170
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321987617109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321987618539
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321987621557
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321987624495
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321987628080
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321987635106
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321987636870
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321987649899
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321987650897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321987689053
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321987785082
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321987827468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321987829838
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321987833285
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321987848193
