what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321994311116
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994311928
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994312974
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994314832
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994326994
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321994335298
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321994363301
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321994376853
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321994378713
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321994382432
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321994383415
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321994632435
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994634067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994704898
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321994726612
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321994744958
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321994747101
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321994747818
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321994768439
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321994787712
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321994795559
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321994796823
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321994800635
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321994802669
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321994806539
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321994810002
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321994817525
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994820748
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994830463
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321994836138
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994836745
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994837895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994839700
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994861177
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321994887598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321994899028
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994900382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994903129
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321994907239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994908561
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994910885
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994914595
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994915886
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321994917264
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994918809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994937966
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321994942002
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321994942812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321994979801
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994980630
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994981992
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321994983792
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321995011863
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321995017219
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321995019474
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321995027975
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321995029094
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321995037656
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321995040785
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321995053892
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321995056362
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321995062372
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321995066344
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321995067522
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321995095465
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321995099228
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321995109266
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321995116692
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321995161178
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321995165853
